Instituto Nacional de Estadística y Geografía (INEGI),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Vehículos de motor registrados en circulación,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fecha de consulta: 01/09/2026 21:36:03,,,,,,,,,,,,,
,,,,,,,,,,,,,
Variable,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
Variable,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre,Total
Automóviles-Total (Número de unidades),39665439,39759828,39862134,39949016,40044424,40136076,40237041,40337795,40434951,40541693,40661018,40784787,40784787
Camiones para pasajeros-Total (Número de unidades),506669,510173,514243,518005,522111,526415,530749,534287,538358,541874,545549,550620,550620
Camiones y camionetas para carga-Total (Número de unidades),12073191,12097668,12123288,12144986,12169946,12194845,12219464,12245073,12266970,12292395,12320631,12349545,12349545
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Notas:,,,,,,,,,,,,,
"La Estadística Mensual de Vehículos de Motor Registrados en Circulación se actualiza a partir del padrón vehicular registrado por los gobiernos de las 32 entidades federativas, al 31 de diciembre del año inmediato anterior. Posteriormente, en los meses del año en curso se realiza una estimación del parque vehicular mensual en circulación, incorporando las ventas de vehículos al público reportadas en el Registro Administrativo de la Industria Automotriz de Vehículos Ligeros (RAIAVL) y el Registro Administrativo de la Industria Automotriz de Vehículos Pesados (RAIAVP). En este sentido, los datos publicados mensualmente se actualizan hasta la publicación de cifras anuales de Vehículos de Motor Registrados en Circulación. Asimismo, la Estadística Mensual de Vehículos de Motor Registrados en Circulación excluye los datos de Motocicletas y del servicio Oficial.",,,,,,,,,,,,,
"El Total corresponde a la cifra del último mes publicado dado que, al parque vehicular existente se le adicionan las unidades nuevas vendidas mensualmente.",,,,,,,,,,,,,
"El 30 de septiembre de 2025 se realizaron ajustes para el periodo de enero a agosto del 2025, debido a la redistribución de vehículos por su tipo, para una mejor estimación entre automóviles y camiones de pasajeros, al considerar los SUV en el segmento de automóviles y no al de camión ligero.",,,,,,,,,,,,,
Cifras Preliminares a partir de enero 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fuente: INEGI. RAIAVL. Cifras a partir de 2015;,,,,,,,,,,,,,
INEGI. RAIAVP. Cifras a partir de 2018;,,,,,,,,,,,,,
INEGI. EMIM. Cifras de 2015 a 2018;,,,,,,,,,,,,,
AMIA. Cifras hasta 2015;,,,,,,,,,,,,,
ANPACT. Cifras hasta 2015.,,,,,,,,,,,,,
