date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,15.1,8.9,21,0,,,7.5,,1022.1,
2025-01-02 00:00:00,16.1,12,23,0.1,,,5.8,,1023.3,
2025-01-03 00:00:00,16.1,9,23,0,,,7.5,,1024.8,
2025-01-04 00:00:00,18.6,14.8,24,0.8,,,8.1,,1018.4,
2025-01-05 00:00:00,20.7,12,33,0,,,15.6,,1013.9,
2025-01-06 00:00:00,11.1,7,16,0,,,12.9,,1025.7,
2025-01-07 00:00:00,7,2,11,0,,,10.5,,1027.3,
2025-01-08 00:00:00,4.7,4,6.5,0,,,9.8,,1029.9,
2025-01-09 00:00:00,5.1,3,6.6,1.1,,,9.3,,1017.2,
2025-01-10 00:00:00,7.6,5,10,0.7,,,14.9,,1021.6,
2025-01-11 00:00:00,8.5,5.2,14,0.1,,,8.1,,1018.7,
2025-01-12 00:00:00,12.8,4,20,0,,,14.8,,1014.4,
2025-01-13 00:00:00,11.3,6.3,18,0,,,9.5,,1024.7,
2025-01-14 00:00:00,10.8,6.6,15,0,,,6.5,,1026.1,
2025-01-15 00:00:00,12.1,9.3,15,0,,,10.6,,1028,
2025-01-16 00:00:00,12.9,10,16,0,,,7,,1027.9,
2025-01-17 00:00:00,14.4,7,24,0,,,8.7,,1015.3,
2025-01-18 00:00:00,18.7,11.5,27,0,,,11.8,,1014.3,
2025-01-19 00:00:00,8.5,6,15,0,,,13.9,,1026.6,
2025-01-20 00:00:00,5.8,1.2,12,0,,,10.2,,1024.9,
2025-01-21 00:00:00,1.4,-2,3.6,0,,,16.7,,1035.6,
2025-01-22 00:00:00,5.5,-3,15,0,,,6.3,,1028.2,
2025-01-23 00:00:00,8.5,0,15,0,,,9.5,,1028.6,
2025-01-24 00:00:00,8.9,1,16,0,,,9.5,,1030.6,
2025-01-25 00:00:00,13,1.2,25,0,,,9,,1020.7,
2025-01-26 00:00:00,18.3,10,27,0,,,9.8,,1019.8,
2025-01-27 00:00:00,14.9,12,17,0.1,,,10,,1020.8,
2025-01-28 00:00:00,12.9,11,14.5,0,,,5.1,,1018,
2025-01-29 00:00:00,16.8,12.8,23,0,,,7.4,,1012.6,
2025-01-30 00:00:00,18.8,14.2,25,0,,,13.6,,1013.2,
2025-01-31 00:00:00,18.2,10.2,26,0,,,7.7,,1021.5,
2025-02-01 00:00:00,16.2,6.5,25,0,,,7.4,,1021.9,
2025-02-02 00:00:00,18.5,7.6,30,0,,,8,,1018.8,
2025-02-03 00:00:00,20.8,11,32,0,,,10.8,,1017,
2025-02-04 00:00:00,20.6,12.9,28,0.5,,,10.3,,1017.6,
2025-02-05 00:00:00,22.1,17.7,28,0.2,,,8.2,,1016,
2025-02-06 00:00:00,22.6,13.3,31,0,,,9,,1015.7,
2025-02-07 00:00:00,23.5,13.6,31,0,,,9.2,,1016.9,
2025-02-08 00:00:00,23.3,15.6,31,0,,,11.6,,1015.3,
2025-02-09 00:00:00,23,14.4,30,0,,,10.9,,1016.3,
2025-02-10 00:00:00,21.4,17.8,26,0.1,,,9.4,,1017.4,
2025-02-11 00:00:00,22.3,17.9,28,0,,,9.3,,1010,
2025-02-12 00:00:00,25.6,17,35,0,,,12.7,,1006,
2025-02-13 00:00:00,12.4,7,19.3,1.8,,,14.6,,1022.4,
2025-02-14 00:00:00,10.8,7,14,0,,,8.1,,1022.7,
2025-02-15 00:00:00,18.3,9.9,28,0,,,12.6,,1012,
2025-02-16 00:00:00,17.8,10,25,0,,,10.5,,1020.5,
2025-02-17 00:00:00,13.4,6.2,19,0,,,8.2,,1019.5,
2025-02-18 00:00:00,20.2,11,35,0,,,10.3,,1012.3,
2025-02-19 00:00:00,8.5,5,17.1,0,,,16.9,,1024.1,
2025-02-20 00:00:00,4.1,2,5.5,0,,,11.6,,1029,
2025-02-21 00:00:00,4.6,1.8,7,0,,,8.5,,1028.8,
2025-02-22 00:00:00,7.1,3,11,0,,,10,,1026.3,
2025-02-23 00:00:00,13.7,6,24,0,,,7.4,,1021.2,
2025-02-24 00:00:00,19,7.6,31,0,,,7.9,,1018.2,
2025-02-25 00:00:00,21,8.7,33,0,,,10.5,,1014,
2025-02-26 00:00:00,20.5,11,29,0,,,9.7,,1011.2,
2025-02-27 00:00:00,19.3,14.3,25,0.9,,,15,,1019.2,
2025-02-28 00:00:00,17.3,14.3,22,0.9,,,7.9,,1019.7,
